,Age,Job,Marital_Status,Education,Annual_Income,Credit_Score,Account_Balance,Housing_Loan,Personal_Loan,Contacted_Before,Campaign_Count,Months_With_Bank,Subscribed
956,44,Management,Married,Graduate,1023943,689,34315,No,No,No,3,46,No
957,52,Self-Employed,Married,Graduate,476661,695,53405,No,No,Yes,5,46,Yes
958,42,Entrepreneur,Single,Not Graduate,415689,708,70543,No,Yes,Yes,1,149,Yes
959,48,Unemployed,Married,Not Graduate,964158,685,0,Yes,No,No,5,1,Yes
960,21,Unemployed,Single,Graduate,538662,705,20736,Yes,No,Yes,2,41,No
961,43,Entrepreneur,Single,Graduate,553107,664,253587,Yes,No,No,4,6,No
962,33,Technician,Married,Graduate,299499,717,219204,No,No,Yes,5,93,Yes
963,36,Student,Married,Not Graduate,388121,553,0,No,No,No,2,25,No
964,38,Entrepreneur,Married,Graduate,379920,649,145633,Yes,Yes,No,2,103,No
965,51,Self-Employed,Married,Graduate,567581,557,0,No,No,Yes,5,45,No
966,57,Management,Single,Not Graduate,636476,832,144598,No,No,No,5,79,Yes
967,50,Admin,Divorced,Not Graduate,349255,707,141942,No,No,Yes,6,39,No
968,34,Retired,Married,Graduate,1362365,607,217174,Yes,No,Yes,1,52,Yes
969,34,Technician,Married,Graduate,553107,658,19852,No,No,No,3,122,No
970,45,Admin,Married,Graduate,1204449,689,99974,Yes,Yes,No,2,97,No
971,44,Retired,Single,Graduate,344284,702,80917,No,No,No,2,1,No
972,27,Management,Divorced,Not Graduate,712665,679,261508,Yes,No,No,2,79,No
973,27,Services,Married,Not Graduate,633584,716,86567,Yes,No,No,4,44,No
974,39,Admin,Married,Graduate,553107,608,112715,Yes,No,Yes,4,85,No
975,43,Student,Divorced,Graduate,938660,567,102675,Yes,No,Yes,4,106,No
976,44,Entrepreneur,Married,Not Graduate,538731,642,79350,Yes,No,No,4,73,No
977,26,Management,Married,Graduate,505836,691,107036,No,No,No,5,21,No
978,43,Admin,Married,Not Graduate,745078,768,99897,Yes,No,No,3,27,No
979,63,Student,Single,Not Graduate,484739,614,176871,Yes,No,No,3,109,No
980,40,Retired,Married,Graduate,462915,850,116504,No,No,Yes,4,54,Yes
981,47,Retired,Married,Not Graduate,269349,850,94821,No,No,Yes,3,1,Yes
982,46,Student,Single,Graduate,341819,698,42243,No,No,No,4,73,No
983,39,Admin,Married,Graduate,799968,799,0,Yes,Yes,No,4,94,Yes
984,35,Unemployed,Divorced,Graduate,628984,721,149161,Yes,No,No,3,123,Yes
985,75,Self-Employed,Single,Not Graduate,1269940,747,0,No,No,Yes,4,12,Yes
986,35,Services,Divorced,Graduate,957869,595,54073,No,No,No,2,43,No
987,18,Services,Single,Not Graduate,502252,735,134176,Yes,No,No,6,6,No
988,61,Self-Employed,Divorced,Graduate,1119428,719,169812,Yes,No,No,3,162,Yes
989,47,Management,Married,Graduate,572957,634,196751,Yes,No,Yes,4,141,No
990,40,Services,Married,Graduate,579833,831,0,Yes,No,Yes,2,103,Yes
991,59,Services,Single,Graduate,553107,689,32164,No,Yes,No,4,71,No
992,58,Services,Married,Graduate,553107,721,43846,No,No,No,4,81,No
993,34,Management,Single,Not Graduate,294764,620,0,Yes,Yes,No,2,121,Yes
994,51,Student,Single,Graduate,373319,644,0,Yes,No,No,6,108,No
995,39,Student,Married,Graduate,333719,771,157941,Yes,No,No,2,13,Yes
996,49,Unemployed,Divorced,Not Graduate,335824,625,121168,Yes,No,No,3,71,No
997,30,Services,Single,Graduate,450963,712,93639,Yes,No,No,2,53,Yes
998,72,Unemployed,Single,Graduate,653469,724,64632,Yes,No,No,3,66,Yes
999,59,Retired,Married,Graduate,312285,648,22131,No,Yes,No,9,1,No
1000,62,Admin,Single,Graduate,1162083,727,24757,No,No,No,7,58,No
1001,32,Admin,Divorced,Not Graduate,998543,776,281896,No,No,Yes,6,18,No
1002,34,Technician,Married,Graduate,686834,710,167032,Yes,Yes,No,4,40,Yes
1003,43,Retired,Single,Not Graduate,747758,646,66281,No,Yes,No,3,49,No
1004,40,Services,Single,Graduate,604138,742,0,Yes,No,No,4,19,No
1006,41,Services,Married,Not Graduate,1413709,846,0,No,No,No,3,1,No
1007,45,Entrepreneur,Divorced,Graduate,544771,657,116378,Yes,No,Yes,5,26,No
1008,21,Self-Employed,Single,Graduate,295732,732,169262,No,No,Yes,3,12,Yes
1009,36,Student,Single,Graduate,200602,763,73242,Yes,No,Yes,3,71,Yes
1010,31,Technician,Married,Not Graduate,1348290,626,120343,No,No,No,4,1,No
1011,26,Entrepreneur,Married,Not Graduate,845041,670,309504,Yes,No,No,3,77,No
1012,19,Admin,Married,Not Graduate,787184,661,24104,No,Yes,No,2,1,No
1013,47,Entrepreneur,Single,Not Graduate,840599,793,241269,No,No,No,5,28,No
1014,31,Services,Single,Graduate,413331,760,144598,No,Yes,No,4,48,Yes
1015,38,Unemployed,Married,Graduate,570753,735,146441,Yes,No,Yes,2,84,Yes
1016,35,Retired,Single,Graduate,570728,728,91482,Yes,No,No,5,89,No
1017,41,Entrepreneur,Married,Graduate,393235,724,41809,Yes,No,No,4,90,Yes
1018,42,Technician,Single,Graduate,1242900,661,42023,Yes,No,No,3,12,No
1019,49,Self-Employed,Single,Graduate,802247,693,0,Yes,No,No,6,27,No
1020,35,Technician,Married,Not Graduate,257914,768,114406,Yes,No,Yes,3,23,Yes
1021,51,Management,Married,Graduate,953841,671,38797,No,Yes,Yes,2,1000,No
1022,39,Student,Married,Graduate,916991,610,0,Yes,No,No,2,29,No
1023,37,Unemployed,Married,Not Graduate,447798,748,120309,Yes,No,Yes,2,14,No
1024,32,Student,Married,Graduate,937962,736,68432,Yes,No,No,2,108,No
1025,30,Management,Divorced,Graduate,418228,850,92062,No,No,Yes,4,63,Yes
1026,22,Services,Single,Graduate,315363,639,155122,Yes,No,No,5,132,No
1027,31,Student,Single,Graduate,525786,788,58445,No,No,No,3,19,No
1028,56,Admin,Divorced,Graduate,376990,764,37274,No,No,No,3,1,No
1029,51,Entrepreneur,Married,Not Graduate,557277,644,0,No,No,Yes,1,52,No
1030,36,Entrepreneur,Married,Not Graduate,289145,568,3042,No,No,Yes,4,58,No
1031,21,Retired,Married,Graduate,584861,689,164188,No,No,No,1,41,No
1032,58,Unemployed,Married,Graduate,526657,663,90751,Yes,No,Yes,4,87,No
1033,49,Technician,Married,Not Graduate,765376,610,157059,Yes,No,No,4,75,No
1034,39,Student,Married,Graduate,686979,520,110422,Yes,No,Yes,5,37,No
1035,53,Student,Married,Graduate,338933,639,26132,No,No,No,3,97,No
1036,45,Admin,Married,Graduate,587490,718,38427,No,No,No,1,20,No
1037,45,Technician,Married,Graduate,304956,663,111367,Yes,No,Yes,1,91,Yes
1038,19,Unemployed,Married,Graduate,706540,828,29462,Yes,No,No,3,89,No
1039,44,Technician,Single,Graduate,626416,670,0,No,Yes,Yes,6,137,No
1040,18,Retired,Single,Graduate,728423,607,19496,No,Yes,No,1,108,No
1041,49,Self-Employed,Single,Graduate,291670,715,83471,No,No,No,5,148,No
1042,34,Management,Married,Graduate,1526503,538,80414,Yes,No,No,3,89,No
1043,43,Unemployed,Single,Graduate,310687,667,173597,No,No,No,3,86,Yes
1044,33,Retired,Single,Not Graduate,405615,741,0,Yes,No,Yes,4,84,Yes
1045,32,Services,Married,Graduate,806903,654,7896,Yes,Yes,No,4,65,Yes
1046,33,Services,Married,Graduate,151968,722,57561,Yes,Yes,No,2,116,No
1047,31,Entrepreneur,Married,Not Graduate,796103,639,27037,No,No,No,7,87,No
1048,50,Services,Single,Graduate,226620,749,61707,Yes,Yes,Yes,2,55,No
1049,52,Student,Single,Not Graduate,274568,655,0,No,No,No,4,80,No
1050,31,Management,Married,Graduate,1681014,746,0,Yes,No,No,3,68,Yes
1051,33,Services,Married,Graduate,380885,557,122024,No,No,No,4,130,Yes
1052,39,Admin,Married,Graduate,335109,614,88990,Yes,No,No,3,1,No
1053,48,Services,Married,Graduate,263902,719,0,Yes,No,Yes,2,51,No
1054,28,Technician,Married,Graduate,517011,692,94263,No,No,No,3,66,No
1055,42,Self-Employed,Married,Not Graduate,369369,663,39613,Yes,No,No,5,116,Yes
1056,48,Services,Single,Not Graduate,457405,677,0,No,Yes,No,7,79,No
1057,35,Technician,Single,Graduate,391919,695,0,No,No,No,5,131,No
1058,43,Entrepreneur,Married,Graduate,1461654,756,83471,Yes,No,Yes,4,16,No
1059,42,Entrepreneur,Single,Graduate,1161513,613,58399,No,No,Yes,4,131,No
1060,42,Admin,Single,Graduate,505827,818,36722,No,No,No,4,1,Yes
1061,55,Technician,Single,Not Graduate,907565,689,7396,No,No,No,6,124,No
1062,42,Unemployed,Single,Graduate,448301,663,24985,Yes,No,No,5,86,No
1063,47,Technician,Single,Graduate,1706220,764,108093,Yes,No,No,2,73,Yes
1064,54,Unemployed,Married,Graduate,670382,641,80850,Yes,No,No,3,10,Yes
1065,44,Self-Employed,Married,Not Graduate,936050,712,106352,No,Yes,Yes,1,104,Yes
1066,34,Technician,Married,Graduate,704212,632,0,No,No,No,2,35,No
1067,40,Unemployed,Single,Graduate,666802,650,108511,No,No,No,5,65,No
1068,60,Admin,Married,Not Graduate,480268,545,188589,Yes,No,No,2,36,No
1069,41,Retired,Married,Not Graduate,128292,674,87655,Yes,No,No,4,62,No
1070,39,Student,Single,Not Graduate,1041807,630,0,No,No,No,6,46,No
1071,40,Retired,Married,Graduate,718937,790,123585,Yes,No,No,4,28,Yes
1072,57,Admin,Single,Graduate,300120,760,83471,No,No,No,2,59,No
1073,35,Technician,Married,Graduate,293019,699,0,No,Yes,No,2,28,No
1074,44,Retired,Married,Graduate,743582,628,228527,Yes,No,No,5,117,No
1075,36,Student,Married,Not Graduate,730755,650,53474,No,No,Yes,2,160,Yes
1076,28,Student,Divorced,Not Graduate,391481,634,200818,No,No,No,5,26,No
1077,43,Student,Single,Not Graduate,592484,570,299018,Yes,No,Yes,5,115,No
1078,41,Technician,Married,Not Graduate,1330960,678,28682,Yes,No,No,5,66,No
1079,38,Unemployed,Married,Not Graduate,269438,704,183721,No,No,No,1,56,No
1080,45,Retired,Married,Graduate,611099,836,95401,No,No,Yes,11,87,Yes
1081,49,Self-Employed,Married,Not Graduate,409945,743,256056,No,No,No,4,152,Yes
1082,18,Self-Employed,Married,Graduate,651545,768,17547,Yes,Yes,No,3,92,Yes
1083,48,Management,Married,Not Graduate,954874,740,216586,No,No,No,3,62,No
1084,52,Student,Single,Graduate,291470,647,154317,No,No,No,6,127,No
1085,43,Student,Married,Not Graduate,720556,524,112121,No,No,Yes,7,64,No
1086,38,Management,Single,Graduate,845160,689,70059,Yes,Yes,No,3,86,No
1087,53,Technician,Single,Graduate,879299,724,188532,Yes,No,No,2,155,Yes
1088,65,Services,Single,Graduate,589236,713,100365,No,No,No,3,92,Yes
1089,18,Services,Single,Not Graduate,805079,616,83471,Yes,No,No,1,84,Yes
1090,25,Entrepreneur,Divorced,Not Graduate,355835,716,44118,Yes,No,No,4,5,Yes
1091,47,Admin,Married,Graduate,886809,643,0,No,No,Yes,3,98,No
1092,47,Entrepreneur,Single,Not Graduate,1342556,760,6581,No,No,Yes,3,43,No
1093,45,Services,Married,Graduate,739629,663,63259,Yes,No,No,5,135,No
1094,31,Student,Married,Not Graduate,621031,615,197046,No,No,No,3,13,No
1095,35,Management,Single,Graduate,682553,689,7169,No,No,No,2,132,No
1096,38,Retired,Married,Graduate,535014,598,5465,No,No,No,4,127,No
1097,46,Management,Divorced,Not Graduate,908591,639,48212,Yes,No,Yes,2,78,Yes
1098,33,Self-Employed,Married,Graduate,766889,642,154724,No,No,Yes,2,76,No
1099,39,Management,Married,Graduate,581205,683,74594,No,No,No,5,7,No
1100,40,Management,Divorced,Not Graduate,313919,690,0,No,No,No,4,164,No
1101,44,Self-Employed,Married,Graduate,470931,724,0,Yes,No,No,3,23,No
1102,19,Self-Employed,Divorced,Not Graduate,441289,624,105794,No,No,No,3,67,No
1103,45,Services,Married,Graduate,248833,528,228927,Yes,No,No,3,88,No
1104,52,Services,Single,Not Graduate,894603,707,0,Yes,No,No,3,95,Yes
1105,49,Self-Employed,Married,Not Graduate,926827,655,73558,No,No,Yes,3,127,Yes
1106,50,Management,Married,Graduate,849110,733,109947,No,Yes,No,7,1,No
1107,53,Management,Married,Not Graduate,891497,817,57620,No,No,No,1,84,Yes
1108,51,Management,Single,Graduate,378447,714,13948,Yes,No,No,8,1,No
1109,38,Management,Married,Graduate,204900,775,65630,Yes,No,Yes,3,124,Yes
1110,34,Management,Married,Graduate,442676,816,0,No,Yes,No,5,79,Yes
1111,56,Retired,Married,Not Graduate,678996,504,179704,Yes,No,Yes,3,27,No
1112,41,Entrepreneur,Married,Graduate,306186,721,19823,Yes,Yes,Yes,2,89,No
1113,38,Technician,Single,Graduate,227605,625,160628,Yes,No,No,3,29,No
1114,62,Admin,Divorced,Graduate,795722,772,0,No,Yes,Yes,3,50,No
1115,37,Services,Married,Not Graduate,378049,586,156455,No,No,No,3,73,Yes
1116,44,Management,Married,Graduate,693549,740,36145,No,No,Yes,4,69,Yes
1117,46,Entrepreneur,Divorced,Graduate,516419,749,67274,Yes,No,No,6,105,No
1118,46,Management,Married,Graduate,583058,729,204427,Yes,No,Yes,6,56,No
1119,53,Technician,Married,Graduate,271083,612,0,No,No,No,4,68,No
1120,52,Entrepreneur,Single,Graduate,221243,603,0,No,No,Yes,5,94,No
1121,43,Student,Married,Not Graduate,643879,639,190701,No,No,No,4,52,Yes
1122,41,Technician,Divorced,Graduate,784100,718,23009,Yes,No,Yes,4,150,Yes
1123,36,Technician,Married,Graduate,722224,683,112226,Yes,No,No,2,67,No
1124,38,Self-Employed,Married,Not Graduate,782820,758,71260,Yes,No,No,3,35,Yes
1125,21,Technician,Single,Graduate,688912,671,33674,Yes,Yes,Yes,3,1,Yes
1126,33,Admin,Single,Graduate,421590,777,0,No,No,No,2,161,Yes
1127,43,Self-Employed,Divorced,Graduate,1128087,745,134512,No,No,Yes,3,41,No
1128,42,Management,Married,Graduate,193183,647,144820,Yes,Yes,Yes,6,111,No
1129,42,Unemployed,Single,Not Graduate,570505,622,0,No,No,Yes,1,89,No
1130,31,Self-Employed,Married,Not Graduate,332197,560,0,Yes,No,Yes,4,81,No
1131,36,Technician,Single,Not Graduate,804649,565,22214,Yes,No,No,1,78,Yes
1132,62,Entrepreneur,Married,Not Graduate,1009503,815,83471,No,Yes,No,3,71,Yes
1133,46,Services,Married,Graduate,553107,648,72330,No,No,No,2,63,No
1134,48,Management,Single,Graduate,481547,628,153824,No,No,No,3,122,No
1135,25,Self-Employed,Married,Graduate,694828,681,228318,No,Yes,No,4,118,No
1136,30,Technician,Married,Graduate,346729,643,6182,No,No,No,2,65,No
1137,44,Management,Married,Not Graduate,296375,710,81903,No,No,Yes,4,44,No
1138,23,Self-Employed,Single,Not Graduate,523213,635,234753,Yes,No,No,3,79,No
1139,39,Technician,Married,Not Graduate,511205,697,0,No,Yes,No,4,97,No
1140,51,Unemployed,Single,Not Graduate,460041,741,155248,Yes,No,No,3,69,No
1141,39,Services,Married,Not Graduate,535461,732,0,No,No,No,3,70,No
1142,36,Self-Employed,Single,Graduate,206191,672,11542,No,No,Yes,3,47,No
1143,36,Self-Employed,Married,Not Graduate,587560,757,89132,No,No,No,4,147,Yes
1144,45,Retired,Single,Not Graduate,2088583,666,182937,Yes,No,Yes,2,86,Yes
1145,50,Unemployed,Married,Graduate,291593,756,0,No,No,No,2,7,Yes
1146,37,Self-Employed,Married,Graduate,341656,655,209495,No,No,No,1,23,No
1147,26,Entrepreneur,Married,Not Graduate,1612607,639,176721,Yes,No,No,3,80,No
1148,36,Retired,Married,Not Graduate,513781,727,83471,Yes,No,No,3,27,Yes
1149,30,Admin,Married,Not Graduate,399677,623,0,No,No,No,4,1,No
1150,55,Management,Married,Graduate,183805,588,156174,Yes,No,No,3,22,No
1151,34,Entrepreneur,Single,Graduate,1239388,832,52598,No,No,No,3,29,Yes
1152,49,Admin,Married,Not Graduate,298988,738,83471,Yes,No,Yes,6,112,No
1153,44,Unemployed,Married,Graduate,717751,803,2855,Yes,No,Yes,3,87,Yes
1154,47,Retired,Married,Graduate,679814,634,37349,No,No,No,3,58,No
1155,47,Student,Single,Graduate,834309,717,10405,No,No,No,4,22,No
1156,40,Technician,Divorced,Not Graduate,413375,669,0,No,No,No,7,33,No
1157,39,Self-Employed,Married,Graduate,888694,562,0,Yes,No,Yes,4,1,No
1158,24,Management,Single,Graduate,202712,849,0,No,Yes,Yes,2,70,Yes
1159,49,Technician,Single,Graduate,251475,807,0,Yes,No,Yes,2,1,Yes
1160,27,Admin,Married,Graduate,492564,650,150541,No,No,Yes,1,119,No
1161,27,Admin,Married,Graduate,1396349,741,238257,No,No,No,6,68,No
1162,43,Entrepreneur,Married,Graduate,436494,745,130202,No,No,Yes,4,113,Yes
1163,44,Self-Employed,Married,Graduate,553107,586,57957,Yes,No,No,2,104,No
1164,32,Entrepreneur,Married,Graduate,682243,749,0,Yes,No,No,3,49,Yes
1165,44,Entrepreneur,Married,Graduate,523474,814,79150,Yes,No,Yes,4,149,No
1166,20,Self-Employed,Married,Graduate,127005,660,179461,Yes,No,Yes,1,136,No
1167,41,Services,Married,Graduate,1395623,692,131346,Yes,No,No,1,84,Yes
1168,40,Unemployed,Single,Graduate,1533686,663,234525,Yes,Yes,No,4,33,No
1169,53,Entrepreneur,Single,Graduate,389802,631,135306,No,No,No,6,99,No
1170,22,Admin,Single,Graduate,227342,545,7123,No,No,Yes,5,84,No
1171,50,Student,Single,Graduate,922844,794,201039,Yes,No,No,5,57,Yes
1172,58,Unemployed,Single,Not Graduate,789822,709,52827,No,No,No,3,7,No
1173,63,Self-Employed,Single,Graduate,392346,629,153993,No,No,No,2,38,No
1174,51,Student,Divorced,Graduate,913754,805,0,No,No,No,5,24,No
1175,28,Services,Single,Graduate,204354,689,0,No,No,Yes,2,79,No
1176,40,Student,Single,Graduate,1018241,613,126828,No,No,No,2,114,Yes
1177,21,Entrepreneur,Single,Graduate,407964,579,88869,Yes,No,Yes,5,141,Yes
1178,32,Entrepreneur,Single,Graduate,899056,633,83143,No,No,No,3,58,No
1179,32,Retired,Married,Graduate,1171430,756,58927,No,No,No,5,1,No
1180,59,Self-Employed,Single,Graduate,500936,673,17501,No,No,No,3,18,No
1181,51,Retired,Married,Graduate,653770,680,81628,No,No,No,2,1,Yes
1182,42,Unemployed,Single,Graduate,1003505,761,67367,No,No,No,4,100,No
1183,38,Student,Married,Graduate,153492,591,87379,No,No,No,4,22,No
1184,31,Services,Married,Graduate,187953,651,0,No,Yes,No,1,165,No
1185,47,Services,Married,Graduate,952539,622,206594,Yes,No,No,2,68,No
1186,57,Self-Employed,Single,Graduate,659541,841,65543,Yes,Yes,No,4,52,Yes
1187,23,Entrepreneur,Single,Not Graduate,484289,542,53184,Yes,No,No,1,31,Yes
1188,32,Technician,Single,Not Graduate,494162,674,105057,No,No,No,3,69,Yes
1189,54,Self-Employed,Single,Graduate,246989,714,299570,Yes,Yes,Yes,7,88,Yes
1190,49,Self-Employed,Single,Graduate,555855,740,37749,Yes,No,No,4,45,Yes
1191,34,Services,Single,Graduate,244793,713,166950,No,No,No,3,17,Yes
1192,22,Services,Married,Graduate,278393,652,0,Yes,No,No,3,86,No
1193,34,Self-Employed,Married,Graduate,752118,810,44387,No,No,No,4,129,No
1194,19,Self-Employed,Single,Graduate,425056,671,106372,No,No,No,3,10,No
1195,41,Unemployed,Single,Graduate,1970420,631,192473,No,No,No,7,116,Yes
1196,41,Unemployed,Married,Not Graduate,851957,716,260156,Yes,No,No,6,30,No
1197,51,Services,Married,Graduate,283055,747,141670,Yes,No,No,3,101,No
1198,54,Entrepreneur,Single,Graduate,2014031,684,213433,Yes,Yes,No,3,110,No
1199,39,Retired,Married,Not Graduate,722489,711,4356,Yes,No,No,2,87,No
1200,48,Student,Divorced,Graduate,503010,644,0,No,No,No,3,49,No
1201,57,Technician,Divorced,Not Graduate,1062813,678,83471,Yes,No,Yes,4,16,No
1202,44,Technician,Married,Graduate,814753,665,106627,No,No,No,4,96,No
1203,44,Technician,Married,Graduate,464950,724,31917,No,No,No,5,96,Yes
1204,35,Technician,Married,Graduate,360209,681,0,No,No,No,2,45,No
1205,53,Unemployed,Married,Graduate,542539,719,72898,No,No,No,1,88,Yes
1206,40,Technician,Divorced,Graduate,562345,689,49479,Yes,No,No,3,73,No
1207,42,Services,Divorced,Graduate,2488577,745,123208,Yes,No,No,1,127,Yes
1209,44,Admin,Married,Graduate,593163,752,30017,No,No,Yes,3,36,No
1210,44,Entrepreneur,Single,Graduate,443501,678,38098,No,No,No,3,77,No
1211,40,Services,Married,Graduate,476335,687,158173,Yes,No,No,3,116,No
1212,36,Services,Married,Not Graduate,1001774,762,51866,Yes,No,No,2,20,No
1213,57,Retired,Divorced,Graduate,123935,592,91706,Yes,No,No,2,45,Yes
1214,42,Retired,Divorced,Not Graduate,544886,833,16154,Yes,No,No,2,26,Yes
1215,53,Self-Employed,Single,Graduate,973099,632,87164,No,No,Yes,3,142,No
1216,35,Student,Married,Graduate,474960,641,0,Yes,No,Yes,5,58,Yes
1217,51,Admin,Married,Not Graduate,1231402,721,30228,No,No,Yes,3,3,No
1218,25,Entrepreneur,Married,Not Graduate,1623443,783,29807,Yes,No,No,3,55,No
1219,37,Retired,Single,Graduate,1389126,744,187277,No,No,No,6,122,Yes
1220,29,Services,Married,Not Graduate,438166,671,94530,No,No,Yes,3,51,No
1221,50,Technician,Married,Graduate,328899,690,96624,Yes,No,No,2,18,No
1222,48,Retired,Married,Not Graduate,553107,623,215255,No,No,No,3,58,No
1223,53,Unemployed,Married,Graduate,393901,714,0,No,No,No,4,1,Yes
1224,28,Entrepreneur,Divorced,Graduate,1050851,689,119979,Yes,No,No,3,127,No
1225,43,Admin,Married,Graduate,553107,716,65296,Yes,No,No,6,149,Yes
1226,36,Management,Divorced,Graduate,713123,651,121651,Yes,Yes,Yes,3,54,Yes
1227,39,Services,Married,Not Graduate,503014,642,110220,Yes,No,Yes,2,94,No
1228,49,Student,Single,Not Graduate,206600,760,90208,No,No,No,1,87,No
1229,38,Admin,Divorced,Graduate,395402,628,0,No,Yes,No,4,109,No
1230,53,Student,Married,Graduate,294481,767,13250,No,No,No,7,45,No
1231,38,Technician,Married,Graduate,316883,778,58910,No,Yes,No,2,81,No
1232,44,Management,Single,Not Graduate,625920,720,44814,Yes,No,No,3,77,No
1233,38,Services,Married,Graduate,676971,734,139414,No,No,No,3,96,Yes
1234,43,Services,Married,Graduate,553107,568,54432,Yes,Yes,No,4,63,No
1235,59,Management,Single,Not Graduate,1057962,606,132452,No,No,No,2,1,Yes
1236,30,Self-Employed,Single,Graduate,667368,712,0,Yes,No,No,4,118,Yes
1237,51,Services,Married,Not Graduate,1262679,521,0,Yes,No,No,1,166,No
1238,23,Technician,Married,Not Graduate,572182,745,84239,No,Yes,Yes,4,47,No
1239,35,Technician,Single,Graduate,460685,612,151558,No,No,No,4,110,Yes
1240,18,Admin,Married,Not Graduate,260669,731,26902,Yes,No,No,4,15,Yes
1241,37,Admin,Single,Graduate,494471,674,103320,Yes,No,No,4,78,No
1242,59,Self-Employed,Divorced,Graduate,453589,700,18545,No,No,No,3,99,No
1243,18,Services,Divorced,Not Graduate,1122593,678,213806,No,No,No,5,73,No
1244,41,Technician,Single,Not Graduate,597165,768,115158,Yes,No,No,2,81,Yes
1245,41,Management,Single,Graduate,438421,664,0,Yes,No,No,1,100,No
1246,34,Technician,Married,Graduate,771515,711,19135,Yes,No,No,6,92,No
1247,45,Entrepreneur,Single,Graduate,355807,668,118331,Yes,Yes,Yes,3,15,No
1248,50,Management,Divorced,Graduate,312905,689,62672,No,No,Yes,2,73,Yes
1249,38,Student,Married,Graduate,505485,569,0,No,No,No,1,39,No
1250,47,Entrepreneur,Married,Not Graduate,729747,677,222946,No,No,Yes,3,139,No
1251,36,Admin,Married,Not Graduate,542733,681,80473,No,Yes,No,2,149,No
1252,28,Services,Single,Not Graduate,636488,635,0,Yes,No,No,3,85,Yes
1253,29,Student,Married,Graduate,728588,719,116484,No,No,No,3,155,No
1254,38,Unemployed,Single,Graduate,2512862,814,120946,No,No,No,4,103,Yes
1255,52,Admin,Divorced,Graduate,520282,598,31588,No,No,No,6,22,No
1256,18,Management,Married,Not Graduate,407889,651,246218,No,No,Yes,3,73,No
1257,39,Technician,Married,Graduate,283081,523,85423,Yes,No,No,1,153,No
1258,41,Unemployed,Single,Not Graduate,333876,574,112730,No,No,No,3,80,No
1259,42,Technician,Married,Not Graduate,887652,768,0,Yes,No,No,3,101,No
1260,25,Unemployed,Married,Graduate,270436,700,25743,Yes,Yes,No,4,118,No
1261,58,Services,Married,Graduate,432723,693,0,No,No,No,5,73,Yes
1262,35,Self-Employed,Married,Graduate,1648807,746,171082,No,No,Yes,3,26,Yes
1263,57,Admin,Married,Graduate,1176872,712,0,Yes,No,Yes,2,73,Yes
1264,41,Technician,Single,Graduate,485528,748,0,Yes,No,No,6,33,No
1265,42,Admin,Married,Not Graduate,398235,687,311810,No,No,No,2,101,No
1266,46,Services,Married,Not Graduate,457296,560,70503,No,No,No,3,95,No
1267,49,Services,Married,Not Graduate,544692,763,139975,No,No,No,3,22,Yes
1268,44,Self-Employed,Single,Graduate,971992,705,83471,No,Yes,No,5,1,No
1269,18,Unemployed,Married,Graduate,560705,689,0,No,No,No,5,17,Yes
1270,44,Management,Married,Graduate,120000,771,155726,No,No,No,2,1,Yes
1271,23,Unemployed,Single,Graduate,2011847,621,155311,Yes,No,Yes,2,49,Yes
1272,19,Technician,Single,Graduate,182609,823,55444,Yes,No,No,5,17,Yes
1273,39,Management,Single,Not Graduate,695733,713,123811,Yes,No,Yes,2,1,No
1274,38,Student,Single,Not Graduate,803242,734,83471,Yes,No,No,3,34,No
1275,29,Unemployed,Married,Graduate,823830,608,160670,No,No,Yes,5,134,Yes
1276,51,Services,Married,Not Graduate,642230,571,50413,No,No,Yes,4,119,No
1277,52,Technician,Married,Graduate,850491,674,0,No,No,Yes,2,113,Yes
1278,75,Management,Married,Graduate,502970,576,6316,Yes,No,No,4,77,No
1279,45,Student,Married,Not Graduate,396225,593,49579,Yes,No,No,4,22,No
1280,35,Retired,Single,Not Graduate,470413,736,223716,Yes,No,No,5,117,Yes
1281,56,Self-Employed,Single,Graduate,894269,779,181904,Yes,No,Yes,2,86,No
1282,38,Management,Married,Not Graduate,405149,799,10302,Yes,No,No,3,103,No
1283,57,Admin,Married,Graduate,1109889,618,128074,Yes,No,No,2,80,No
1284,39,Entrepreneur,Single,Graduate,834788,621,0,No,No,Yes,2,29,No
1285,39,Admin,Single,Graduate,646970,703,0,Yes,No,No,6,132,No
1286,57,Self-Employed,Married,Graduate,321806,617,63979,No,No,No,-2,142,Yes
1287,36,Services,Married,Graduate,621173,788,8644,No,No,Yes,2,79,Yes
1288,27,Admin,Single,Graduate,207336,714,0,No,No,No,3,47,No
1289,58,Entrepreneur,Single,Not Graduate,896270,700,86270,Yes,Yes,No,3,50,No
1290,37,Admin,Single,Not Graduate,170072,755,171182,Yes,No,No,2,172,Yes
1291,48,Retired,Married,Graduate,403598,793,139695,Yes,No,No,2,17,Yes
1292,48,Technician,Divorced,Not Graduate,721964,659,133630,No,No,No,3,49,No
1293,52,Management,Married,Graduate,518550,696,35670,No,No,No,6,48,No
1294,21,Admin,Single,Not Graduate,631727,627,211375,Yes,No,Yes,4,97,No
1295,32,Student,Single,Graduate,625629,657,148883,Yes,No,No,5,23,No
1296,50,Technician,Divorced,Graduate,366603,688,82974,Yes,No,Yes,3,96,No
1297,47,Services,Married,Graduate,425796,725,20244,Yes,No,No,2,1,No
1298,56,Student,Single,Graduate,665748,593,144107,Yes,No,No,5,100,No
